Customer_ID,Age,Gender,Income,Loyalty_Score,Purchase_Frequency,Item_Bought_1,Item_Bought_2,Item_Bought_3,Item_Bought_4
103,53.21684708919289,Male,75401.03561481395,3,High,,,,
436,50.52813671961879,Male,110990.71868972114,5,High,Multivitamins,Probiotics,,
861,53.104895153414404,Female,71504.97365820727,3,High,Probiotics,Magnesium,,
271,32.54104050045732,Male,74601.73566876803,3,High,Fish Oil,Fish Oil,,
107,59.56132690070493,Male,44774.70945571765,5,High,,,,
72,67.5815263564956,Male,56363.00325881788,1,High,Magnesium,,,
701,52.63057595987058,Male,47603.31005544858,4,High,,,,
21,27.860675691335636,Male,70046.85456887448,5,High,Probiotics,Probiotics,,
615,27.966965736456984,Male,78590.51296791295,1,High,,,,
122,34.36934566610368,Female,63714.33567000859,4,High,Probiotics,Magnesium,,
467,31.534341789722184,Male,75908.78725409825,3,High,,Multivitamins,Multivitamins,
215,38.93361061469103,Female,59425.09784096418,5,High,Probiotics,,,Probiotics
331,49.48663699551771,Female,86493.10721870195,3,High,Multivitamins,,Vitamin D,
459,44.34928661124773,Female,42768.98434214307,5,High,,,,
88,43.03433584579433,Male,88318.72630257887,4,High,Multivitamins,,,
373,36.38195875299782,Male,45677.142290468706,1,High,,,,
100,38.89231109253176,Female,60327.73836959272,5,High,,,,
872,51.94863261293502,Female,36114.17916717318,1,High,Multivitamins,Multivitamins,,
664,9.82062958750278,Female,70119.3684102986,3,High,,,,
131,39.829143872819024,Male,62629.70137054733,3,High,Magnesium,Vitamin D,,Magnesium
662,44.31981392390988,Male,74772.92790094031,4,High,,,,
309,51.75374602820939,Male,25324.258469122644,4,High,,,,
770,24.849310910742634,Female,62677.10240740175,2,High,,,,
344,24.056354763203217,Male,68069.6147969464,2,High,,Multivitamins,,
492,48.759324923172,Male,40228.41484290737,4,High,,,,
414,11.43321639614626,Female,70660.31871931633,3,High,Magnesium,Vitamin D,,
806,,Male,14056.390475717053,1,High,Fish Oil,,,
386,43.39887987239216,Female,57445.49318012423,4,High,,,,
192,63.38081819265155,Male,88249.91946507587,1,High,Fish Oil,,,
277,23.693914351457305,Female,57272.6260070834,2,High,Multivitamins,,,
161,33.454607969226394,Male,45618.70872440054,1,High,Fish Oil,Magnesium,Fish Oil,
460,3.881975096096717,Female,58707.07953429555,4,High,,Magnesium,,
314,28.06465355507086,Male,61981.097545908415,3,High,Probiotics,,,
22,37.24229678917181,Female,77927.07085251009,4,High,,,,
253,10.559386299873452,Female,62597.739850485326,5,High,,,,
748,34.08059781702401,Male,75240.59634372673,5,High,,,,
857,10.189897347096334,Male,61841.04848323626,5,High,Multivitamins,,,
561,36.13809722632862,Female,45013.62783123534,3,High,,,,
475,,Male,31962.88134916195,4,High,Probiotics,Vitamin D,Fish Oil,
59,39.47530374828816,Female,67433.6642857288,5,High,Probiotics,,,
511,64.87311058917705,Female,10575.316062514568,4,High,,,,
682,51.79438845091914,Male,24695.963097538646,2,High,,,,
476,60.22221772910457,Male,32039.308974881063,5,High,Vitamin D,,,Magnesium
700,28.525821386825747,Male,74292.44401676075,5,High,Magnesium,,,
783,28.162875574110966,Female,30204.14389998823,3,High,,,,Vitamin D
190,45.18420124578053,Female,69402.75353792604,4,High,,,,
687,16.334468625507114,Male,39360.452836711585,3,High,,,,
563,47.06715624643135,Female,57070.336529804255,3,High,,Vitamin D,,
876,35.14120275179606,Female,58747.92951917241,4,High,Magnesium,,,
567,59.94995256319986,Male,56770.95130464375,2,High,,Magnesium,,
244,50.19268381119116,Female,47067.00628202312,4,High,,,,Multivitamins
832,56.4505964551019,Female,28672.53312917618,2,High,,,,
505,28.686908779074294,Female,60536.65474629591,3,High,Fish Oil,,,
131,55.72315403142592,Male,71153.08282565637,2,High,,Multivitamins,,
485,,Male,73584.15060464371,2,High,Probiotics,,Vitamin D,
819,39.41929264929489,Female,61635.77600905144,2,High,Fish Oil,,,
647,28.909740709502678,Male,65152.064094907175,5,High,Magnesium,,,
21,29.17319198148386,Female,44577.83476592742,5,High,,,,
841,58.58519488023947,Male,68989.3939031825,3,High,,Fish Oil,,
167,80.26518613634967,Female,68253.37304287017,4,High,Fish Oil,,,
274,25.27532394737167,Female,54043.94520933382,2,High,,,,
388,24.122199249361596,Female,60961.688968688286,5,High,,Vitamin D,,
601,53.82121271011718,Female,59464.08968387058,4,High,,,,
316,28.691297059500332,Male,69130.84619658063,2,High,Vitamin D,Fish Oil,,Probiotics
14,55.275330763424044,Female,29123.446078356254,4,High,Vitamin D,Magnesium,,
242,46.98019260289969,Female,28725.827240461935,1,High,,Magnesium,,
777,39.64034046253054,Male,29763.838849416097,2,High,Vitamin D,Vitamin D,,
346,46.619073017825315,Male,51104.6753468776,4,High,,,,
565,45.70297553730091,Female,69106.14950605223,2,High,Magnesium,Magnesium,,
340,37.305902533207366,Female,15080.218546273354,2,High,,,,
92,13.654584525422582,Male,61880.1318977456,1,High,,,,
367,42.67976092883552,Female,83875.0061630067,4,High,Probiotics,,Multivitamins,Fish Oil
455,63.595905490962465,Female,65463.01174996403,3,High,,,,
428,15.868470051932146,Female,19622.165283747716,5,High,Multivitamins,,,
509,25.51322469791583,Female,70421.32659995882,2,High,Probiotics,,,
776,46.40240462149016,Female,64845.62545885421,2,High,Fish Oil,Vitamin D,,
35,40.578877940984206,Female,53147.264975353995,2,High,,Fish Oil,,
206,46.16773239376434,Female,63635.54439739346,2,High,Vitamin D,Probiotics,,
81,29.510226882585073,Female,32082.694431504027,5,High,Vitamin D,Multivitamins,,
562,57.43687429888459,Female,61019.77396158777,3,High,Vitamin D,,,
872,40.70350848535317,Male,69571.8474089374,1,High,,,,Multivitamins
388,50.45478283514585,Male,46141.47664461238,3,High,Fish Oil,,,
2,44.80416116456644,Male,50583.49210850549,5,High,Multivitamins,,,
390,42.63242451941489,Female,48647.503706403746,4,High,,,,
566,49.40250485542195,Female,50494.34368575396,1,High,,Vitamin D,,
106,42.79731930950426,Female,43397.10738089765,1,High,,,,
772,22.147014578567322,Male,44587.331313920855,4,High,Multivitamins,,,
822,56.31035238573946,Male,70321.81118211237,2,High,Magnesium,,,
477,52.27190929372276,Female,25146.126824130784,5,High,Vitamin D,Vitamin D,,
703,8.397244129632853,Male,63659.8196927797,4,High,,,,
402,30.186995726864843,Male,70282.91247381015,3,High,Magnesium,,,
730,55.635406937392105,Female,32945.988680275594,3,High,,,,
556,12.596071802832494,Female,58468.78252765282,4,High,Probiotics,Fish Oil,Magnesium,
162,54.15350322851117,Male,41669.203150859554,5,High,,,,
202,37.88166196518624,Female,82726.55858888262,1,High,Fish Oil,,,
270,60.104238555009864,Male,55887.39291909631,1,High,Probiotics,,,
863,39.98279816386805,Male,,2,High,,Multivitamins,,
816,29.168980105065586,Male,86445.54792366407,5,High,Vitamin D,,Multivitamins,
271,44.62128491138711,Female,66146.5833256275,3,High,,,,
456,39.54421765735021,Male,102854.15262964836,3,High,,,,
462,27.83723298788979,Male,28510.414513709708,2,High,,,,Magnesium
727,73.2751522451708,Female,88908.34479158233,3,High,,,,
252,25.43352727623528,Female,54638.511818773426,2,High,Magnesium,,,
702,6.355669374103087,Male,57466.238779884414,2,High,,,,Probiotics
296,63.72548452182239,Female,50775.40745345676,4,High,,Probiotics,,
725,31.246547915261104,Female,30998.969169701195,1,High,Fish Oil,Vitamin D,Vitamin D,
720,35.54840108551457,Male,71391.93028029673,5,High,,,,Fish Oil
749,34.631409030564484,Female,35185.67211791508,5,High,,,,
338,,Male,48180.03062457289,1,High,Fish Oil,,,
879,28.50711293104831,Female,49065.35180809484,5,High,Fish Oil,,,
53,25.047740462545534,Female,79911.53102425796,3,High,,Vitamin D,,
792,40.971396425568486,Male,58526.468278624096,3,High,,,,
